year,election_date,council_count,race_count,seat_count,below_quota_seat_count,below_quota_share
2016,2016-05-05,150,2208,2798,794,0.283774
2017,2017-05-04,113,3013,3600,959,0.266389
2018,2018-05-03,154,2748,4417,571,0.129273
2019,2019-05-02,255,5161,8283,1171,0.141374
2021,2021-05-06,143,3863,4729,1356,0.286741
2022,2022-05-05,168,3533,5549,759,0.136781
2023,2023-05-04,230,4797,8031,900,0.112066
2024,2024-05-02,107,1903,2659,634,0.238436
2025,2025-05-01,23,1400,1640,1067,0.650610
2026,2026-05-07,136,2943,5031,1593,0.316637
